#,Company,Symbol,Weight,Price,Chg,% Chg
1,Microsoft Corporation,MSFT,5.052529,183.63,0.00,(0.00%)
2,Apple Inc.,AAPL,4.898941,319.49,-5.72,(-1.76%)
3,Amazon.com Inc.,AMZN,3.079592,"2,079.00",28.77,(1.40%)
4,Facebook Inc. Class A,FB,1.830053,211.90,1.05,(0.50%)
5,Berkshire Hathaway Inc. Class B,BRK.B,1.619859,227.11,-2.50,(-1.09%)
6,Alphabet Inc. Class A,GOOGL,1.595027,"1,479.11",3.14,(0.21%)
7,Alphabet Inc. Class C,GOOG,1.591392,"1,479.23",3.00,(0.20%)
8,JPMorgan Chase & Co.,JPM,1.556693,137.01,-0.60,(-0.44%)
9,Johnson & Johnson,JNJ,1.457355,151.50,-2.03,(-1.32%)
10,Visa Inc. Class A,V,1.253574,202.66,-0.38,(-0.19%)
11,Procter & Gamble Company,PG,1.144124,126.28,-0.86,(-0.68%)
12,Mastercard Incorporated Class A,MA,1.055001,326.21,-3.09,(-0.94%)
13,Intel Corporation,INTC,1.053428,66.07,-1.02,(-1.52%)
14,AT&T Inc.,T,1.013584,38.42,-0.02,(-0.05%)
15,Bank of America Corp,BAC,1.013109,34.60,-0.07,(-0.20%)
16,UnitedHealth Group Incorporated,UNH,1.00014,288.67,-3.79,(-1.30%)
17,Exxon Mobil Corporation,XOM,0.94506,61.55,-0.33,(-0.53%)
18,Home Depot Inc.,HD,0.939669,237.30,-1.54,(-0.64%)
19,Walt Disney Company,DIS,0.928408,140.56,-2.14,(-1.50%)
20,Verizon Communications Inc.,VZ,0.887353,59.85,0.41,(0.69%)
21,Coca-Cola Company,KO,0.821056,59.16,0.17,(0.29%)
22,Merck & Co. Inc.,MRK,0.787393,85.30,-0.38,(-0.44%)
23,Pfizer Inc.,PFE,0.764272,38.15,-0.11,(-0.29%)
24,Chevron Corporation,CVX,0.746692,109.00,-0.49,(-0.45%)
25,Cisco Systems Inc.,CSCO,0.745581,47.90,-0.79,(-1.62%)
26,Comcast Corporation Class A,CMCSA,0.730854,44.64,0.04,(0.09%)
27,PepsiCo Inc.,PEP,0.725949,145.57,1.24,(0.86%)
28,Wells Fargo & Company,WFC,0.666549,47.80,-0.18,(-0.38%)
29,Boeing Company,BA,0.658925,337.60,-3.83,(-1.12%)
30,Adobe Inc.,ADBE,0.641506,366.01,-1.45,(-0.39%)
31,Citigroup Inc.,C,0.622319,78.55,-0.42,(-0.53%)
32,salesforce.com inc.,CRM,0.597867,185.69,-1.04,(-0.56%)
33,Walmart Inc.,WMT,0.59508,116.45,0.14,(0.12%)
34,Medtronic Plc,MDT,0.58689,119.25,-2.05,(-1.69%)
35,Netflix Inc.,NFLX,0.580488,365.83,-1.12,(-0.31%)
36,McDonald's Corporation,MCD,0.578647,211.20,-1.67,(-0.78%)
37,Abbott Laboratories,ABT,0.570768,87.70,-1.77,(-1.98%)
38,Bristol-Myers Squibb Company,BMY,0.567773,66.25,-0.85,(-1.27%)
39,NVIDIA Corporation,NVDA,0.561631,251.57,-2.68,(-1.05%)
40,PayPal Holdings Inc,PYPL,0.507385,118.77,-1.12,(-0.93%)
41,International Business Machines Corporation,IBM,0.501125,152.90,-3.86,(-2.46%)
42,Amgen Inc.,AMGN,0.496433,229.33,-2.12,(-0.92%)
43,Costco Wholesale Corporation,COST,0.495321,313.99,3.38,(1.09%)
44,Accenture Plc Class A,ACN,0.490707,211.58,-2.58,(-1.20%)
45,Philip Morris International Inc.,PM,0.483983,87.45,1.27,(1.47%)
46,Thermo Fisher Scientific Inc.,TMO,0.480516,326.21,-5.79,(-1.74%)
47,NextEra Energy Inc.,NEE,0.473396,269.00,0.67,(0.25%)
48,Union Pacific Corporation,UNP,0.466355,183.98,-2.13,(-1.14%)
49,AbbVie Inc.,ABBV,0.465363,92.52,5.34,(6.13%)
50,Broadcom Inc.,AVGO,0.457676,314.56,-5.13,(-1.60%)
51,United Technologies Corporation,UTX,0.457422,156.50,0.30,(0.19%)
52,Honeywell International Inc.,HON,0.454833,175.48,-0.87,(-0.49%)
53,NIKE Inc. Class B,NKE,0.451415,99.43,-0.84,(-0.84%)
54,Eli Lilly and Company,LLY,0.448951,146.41,-0.89,(-0.60%)
55,Texas Instruments Incorporated,TXN,0.447128,128.70,-3.82,(-2.88%)
56,Oracle Corporation,ORCL,0.427838,54.72,0.01,(0.02%)
57,Linde plc,LIN,0.419942,214.16,-2.59,(-1.19%)
58,General Electric Company,GE,0.408239,12.85,-0.10,(-0.77%)
59,Lockheed Martin Corporation,LMT,0.392309,439.90,0.93,(0.21%)
60,American Tower Corporation,AMT,0.380239,238.75,0.94,(0.40%)
61,Danaher Corporation,DHR,0.378398,161.99,-1.99,(-1.21%)
62,QUALCOMM Incorporated,QCOM,0.372476,87.42,-3.19,(-3.52%)
